ID,Plataformas,FrecuenciaInternet,SeriesFavoritas,FrecuenciaNetflix,RecenciaNetflix,IntencionNetflix1,BenefEsp1,BenefEsp2,BenefEsp3,BenefEsp4,BenefEsp5,BenefEsp6,BenefEsp7,BenefEsp8,BenefEsp9,BenefEsp10,BenefEsp11,BenefEsp12,BenefEsp13,Actitud1,Actitud2,Actitud3,Barreras1,Barreras2,Barreras3,Barreras4,Barreras5,Barreras6,Barreras7,Barreras8,Barreras9,ControlPerc1,NormaDescriptiva1,NormaDescriptiva2,NormaSubjetiva1,NormaSubjetiva2,IntencionNetflix2,ControlPerc2,Sexo,Edad,TiempoResp
60,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,Science Fiction;thriller;animé,4,NA,NA,NA,NA,2,2,5,5,NA,NA,NA,NA,5,NA,NA,5,5,5,2,3,4,6,5,6,2,6,6,NA,NA,NA,NA,NA,NA,NA,Hombre,22,313.9388239
61,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 3 y 5 horas,Science Fiction;humour/comédie;thriller,6,5,NA,NA,NA,5,5,5,NA,NA,5,5,2,NA,NA,NA,4,6,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,Hombre,20,388.9899619
62,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 2 y 3 horas,aventure/action;documentaire;animé,4,NA,NA,NA,2,NA,NA,5,NA,NA,NA,NA,5,5,2,2,4,5,4,2,3,6,4,6,4,3,6,6,NA,5,NA,5,5,NA,NA,Hombre,17,388.634887
63,Netflix,Entre 2 y 3 horas,Science Fiction;humour/comédie;romantique,6,NA,NA,5,NA,5,5,NA,NA,NA,NA,5,5,5,5,5,4,5,5,4,5,2,3,3,3,3,3,5,NA,5,5,5,5,NA,NA,Mujer,18,218.7795796
64,Netflix;OCS;Canal+ série et/ou film,Entre 0 y 30 minutos,humour/comédie;documentaire;jeunesse et famille,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,5,5,1,2,4,4,4,5,3,6,6,NA,NA,NA,5,5,NA,5,Mujer,24,475.5999723
65,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 2 y 3 horas,humour/comédie;horreur;documentaire,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,4,4,5,5,5,4,5,5,5,3,4,5,NA,2,NA,2,5,NA,NA,Mujer,19,281.3054282
66,Netflix;Canal+ série et/ou film;Apple TV+,Entre 30 minutos y 1 hora,Ciencia Ficcion;Aventura/Accion;Romantica,4,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,6,4,4,3,6,4,6,6,NA,5,NA,NA,NA,5,NA,Mujer,19,757.9642905
67,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,7 o m?s horas,humour/comédie;drame;thriller,6,NA,NA,NA,1,5,NA,5,NA,5,NA,5,NA,NA,NA,NA,3,4,4,4,1,6,3,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,Mujer,18,490.720036
68,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo,Entre 30 minutos y 1 hora,Ciencia Ficcion;Aventura/Accion;Documental,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,5,4,3,4,5,3,5,6,2,4,2,5,5,5,NA,NA,NA,NA,NA,5,Hombre,20,450.3299294
69,Netflix,Entre 3 y 5 horas,Ciencia Ficcion;Terror;Documental,6,NA,NA,5,2,1,NA,NA,NA,NA,NA,5,5,5,5,NA,4,4,5,6,4,6,6,5,6,5,6,6,NA,NA,5,1,1,NA,5,Hombre,22,560.616389
